block_id,_block_lat,_block_lon,split,n_window_samples,lat_min,lat_max,lon_min,lon_max,lat_center,lon_center,split_code
264_132,264,132,train,138,42.0,42.5,-114.0,-113.5,42.25,-113.75,1
264_133,264,133,train,64,42.0,42.5,-113.5,-113.0,42.25,-113.25,1
264_134,264,134,train,128,42.0,42.5,-113.0,-112.5,42.25,-112.75,1
264_138,264,138,train,117,42.0,42.5,-111.0,-110.5,42.25,-110.75,1
264_139,264,139,train,9,42.0,42.5,-110.5,-110.0,42.25,-110.25,1
264_142,264,142,train,44,42.0,42.5,-109.0,-108.5,42.25,-108.75,1
264_144,264,144,train,159,42.0,42.5,-108.0,-107.5,42.25,-107.75,1
264_149,264,149,train,52,42.0,42.5,-105.5,-105.0,42.25,-105.25,1
265_115,265,115,train,4,42.5,43.0,-122.5,-122.0,42.75,-122.25,1
265_116,265,116,train,4,42.5,43.0,-122.0,-121.5,42.75,-121.75,1
265_120,265,120,train,90,42.5,43.0,-120.0,-119.5,42.75,-119.75,1
265_124,265,124,train,251,42.5,43.0,-118.0,-117.5,42.75,-117.75,1
265_125,265,125,test,70,42.5,43.0,-117.5,-117.0,42.75,-117.25,3
265_126,265,126,train,118,42.5,43.0,-117.0,-116.5,42.75,-116.75,1
265_129,265,129,train,217,42.5,43.0,-115.5,-115.0,42.75,-115.25,1
265_131,265,131,train,7,42.5,43.0,-114.5,-114.0,42.75,-114.25,1
265_136,265,136,train,44,42.5,43.0,-112.0,-111.5,42.75,-111.75,1
265_139,265,139,val,177,42.5,43.0,-110.5,-110.0,42.75,-110.25,2
265_140,265,140,train,102,42.5,43.0,-110.0,-109.5,42.75,-109.75,1
265_141,265,141,test,119,42.5,43.0,-109.5,-109.0,42.75,-109.25,3
265_142,265,142,train,52,42.5,43.0,-109.0,-108.5,42.75,-108.75,1
265_143,265,143,train,94,42.5,43.0,-108.5,-108.0,42.75,-108.25,1
265_147,265,147,train,37,42.5,43.0,-106.5,-106.0,42.75,-106.25,1
265_154,265,154,train,53,42.5,43.0,-103.0,-102.5,42.75,-102.75,1
265_166,265,166,train,12,42.5,43.0,-97.0,-96.5,42.75,-96.75,1
266_118,266,118,train,8,43.0,43.5,-121.0,-120.5,43.25,-120.75,1
266_121,266,121,val,66,43.0,43.5,-119.5,-119.0,43.25,-119.25,2
266_128,266,128,val,73,43.0,43.5,-116.0,-115.5,43.25,-115.75,2
266_129,266,129,val,2,43.0,43.5,-115.5,-115.0,43.25,-115.25,2
266_131,266,131,val,145,43.0,43.5,-114.5,-114.0,43.25,-114.25,2
266_134,266,134,train,145,43.0,43.5,-113.0,-112.5,43.25,-112.75,1
266_136,266,136,train,76,43.0,43.5,-112.0,-111.5,43.25,-111.75,1
266_139,266,139,train,43,43.0,43.5,-110.5,-110.0,43.25,-110.25,1
266_147,266,147,train,44,43.0,43.5,-106.5,-106.0,43.25,-106.25,1
266_149,266,149,train,80,43.0,43.5,-105.5,-105.0,43.25,-105.25,1
266_151,266,151,val,21,43.0,43.5,-104.5,-104.0,43.25,-104.25,2
266_152,266,152,train,111,43.0,43.5,-104.0,-103.5,43.25,-103.75,1
267_119,267,119,train,18,43.5,44.0,-120.5,-120.0,43.75,-120.25,1
267_120,267,120,test,15,43.5,44.0,-120.0,-119.5,43.75,-119.75,3
267_122,267,122,train,19,43.5,44.0,-119.0,-118.5,43.75,-118.75,1
267_124,267,124,train,174,43.5,44.0,-118.0,-117.5,43.75,-117.75,1
267_125,267,125,train,207,43.5,44.0,-117.5,-117.0,43.75,-117.25,1
267_126,267,126,test,60,43.5,44.0,-117.0,-116.5,43.75,-116.75,3
267_128,267,128,test,16,43.5,44.0,-116.0,-115.5,43.75,-115.75,3
267_129,267,129,train,31,43.5,44.0,-115.5,-115.0,43.75,-115.25,1
267_130,267,130,train,104,43.5,44.0,-115.0,-114.5,43.75,-114.75,1
267_131,267,131,test,177,43.5,44.0,-114.5,-114.0,43.75,-114.25,3
267_137,267,137,train,13,43.5,44.0,-111.5,-111.0,43.75,-111.25,1
267_138,267,138,test,228,43.5,44.0,-111.0,-110.5,43.75,-110.75,3
267_140,267,140,train,25,43.5,44.0,-110.0,-109.5,43.75,-109.75,1
267_141,267,141,train,18,43.5,44.0,-109.5,-109.0,43.75,-109.25,1
267_142,267,142,train,101,43.5,44.0,-109.0,-108.5,43.75,-108.75,1
267_144,267,144,train,59,43.5,44.0,-108.0,-107.5,43.75,-107.75,1
267_145,267,145,train,112,43.5,44.0,-107.5,-107.0,43.75,-107.25,1
267_151,267,151,train,32,43.5,44.0,-104.5,-104.0,43.75,-104.25,1
267_152,267,152,train,166,43.5,44.0,-104.0,-103.5,43.75,-103.75,1
267_153,267,153,train,190,43.5,44.0,-103.5,-103.0,43.75,-103.25,1
267_188,267,188,train,14,43.5,44.0,-86.0,-85.5,43.75,-85.75,1
268_117,268,117,train,127,44.0,44.5,-121.5,-121.0,44.25,-121.25,1
268_118,268,118,train,20,44.0,44.5,-121.0,-120.5,44.25,-120.75,1
268_125,268,125,train,4,44.0,44.5,-117.5,-117.0,44.25,-117.25,1
268_129,268,129,train,56,44.0,44.5,-115.5,-115.0,44.25,-115.25,1
268_130,268,130,test,2,44.0,44.5,-115.0,-114.5,44.25,-114.75,3
268_131,268,131,train,51,44.0,44.5,-114.5,-114.0,44.25,-114.25,1
268_132,268,132,train,114,44.0,44.5,-114.0,-113.5,44.25,-113.75,1
268_135,268,135,val,144,44.0,44.5,-112.5,-112.0,44.25,-112.25,2
268_136,268,136,train,64,44.0,44.5,-112.0,-111.5,44.25,-111.75,1
268_140,268,140,train,103,44.0,44.5,-110.0,-109.5,44.25,-109.75,1
268_141,268,141,train,101,44.0,44.5,-109.5,-109.0,44.25,-109.25,1
268_142,268,142,test,13,44.0,44.5,-109.0,-108.5,44.25,-108.75,3
268_144,268,144,train,151,44.0,44.5,-108.0,-107.5,44.25,-107.75,1
268_146,268,146,train,25,44.0,44.5,-107.0,-106.5,44.25,-106.75,1
268_151,268,151,train,54,44.0,44.5,-104.5,-104.0,44.25,-104.25,1
268_152,268,152,train,119,44.0,44.5,-104.0,-103.5,44.25,-103.75,1
268_153,268,153,train,13,44.0,44.5,-103.5,-103.0,44.25,-103.25,1
268_180,268,180,train,60,44.0,44.5,-90.0,-89.5,44.25,-89.75,1
268_192,268,192,train,11,44.0,44.5,-84.0,-83.5,44.25,-83.75,1
268_193,268,193,train,33,44.0,44.5,-83.5,-83.0,44.25,-83.25,1
269_118,269,118,train,14,44.5,45.0,-121.0,-120.5,44.75,-120.75,1
269_124,269,124,train,214,44.5,45.0,-118.0,-117.5,44.75,-117.75,1
269_125,269,125,train,128,44.5,45.0,-117.5,-117.0,44.75,-117.25,1
269_126,269,126,train,23,44.5,45.0,-117.0,-116.5,44.75,-116.75,1
269_127,269,127,val,246,44.5,45.0,-116.5,-116.0,44.75,-116.25,2
269_128,269,128,test,51,44.5,45.0,-116.0,-115.5,44.75,-115.75,3
269_131,269,131,train,50,44.5,45.0,-114.5,-114.0,44.75,-114.25,1
269_132,269,132,train,113,44.5,45.0,-114.0,-113.5,44.75,-113.75,1
269_133,269,133,train,43,44.5,45.0,-113.5,-113.0,44.75,-113.25,1
269_137,269,137,train,11,44.5,45.0,-111.5,-111.0,44.75,-111.25,1
269_138,269,138,test,122,44.5,45.0,-111.0,-110.5,44.75,-110.75,3
269_139,269,139,train,4,44.5,45.0,-110.5,-110.0,44.75,-110.25,1
269_140,269,140,train,61,44.5,45.0,-110.0,-109.5,44.75,-109.75,1
269_141,269,141,train,99,44.5,45.0,-109.5,-109.0,44.75,-109.25,1
269_143,269,143,train,15,44.5,45.0,-108.5,-108.0,44.75,-108.25,1
269_144,269,144,train,62,44.5,45.0,-108.0,-107.5,44.75,-107.75,1
269_145,269,145,train,23,44.5,45.0,-107.5,-107.0,44.75,-107.25,1
269_149,269,149,val,25,44.5,45.0,-105.5,-105.0,44.75,-105.25,2
269_151,269,151,train,109,44.5,45.0,-104.5,-104.0,44.75,-104.25,1
269_191,269,191,train,716,44.5,45.0,-84.5,-84.0,44.75,-84.25,1
269_192,269,192,train,131,44.5,45.0,-84.0,-83.5,44.75,-83.75,1
270_118,270,118,train,7,45.0,45.5,-121.0,-120.5,45.25,-120.75,1
270_125,270,125,train,26,45.0,45.5,-117.5,-117.0,45.25,-117.25,1
270_128,270,128,train,11,45.0,45.5,-116.0,-115.5,45.25,-115.75,1
270_132,270,132,test,92,45.0,45.5,-114.0,-113.5,45.25,-113.75,3
270_135,270,135,train,78,45.0,45.5,-112.5,-112.0,45.25,-112.25,1
270_137,270,137,train,4,45.0,45.5,-111.5,-111.0,45.25,-111.25,1
270_138,270,138,train,74,45.0,45.5,-111.0,-110.5,45.25,-110.75,1
270_139,270,139,test,31,45.0,45.5,-110.5,-110.0,45.25,-110.25,3
270_140,270,140,val,17,45.0,45.5,-110.0,-109.5,45.25,-109.75,2
270_141,270,141,val,3,45.0,45.5,-109.5,-109.0,45.25,-109.25,2
270_146,270,146,train,54,45.0,45.5,-107.0,-106.5,45.25,-106.75,1
270_147,270,147,train,53,45.0,45.5,-106.5,-106.0,45.25,-106.25,1
270_153,270,153,train,52,45.0,45.5,-103.5,-103.0,45.25,-103.25,1
271_125,271,125,train,33,45.5,46.0,-117.5,-117.0,45.75,-117.25,1
271_127,271,127,train,8,45.5,46.0,-116.5,-116.0,45.75,-116.25,1
271_129,271,129,train,9,45.5,46.0,-115.5,-115.0,45.75,-115.25,1
271_130,271,130,train,6,45.5,46.0,-115.0,-114.5,45.75,-114.75,1
271_131,271,131,train,58,45.5,46.0,-114.5,-114.0,45.75,-114.25,1
271_132,271,132,train,71,45.5,46.0,-114.0,-113.5,45.75,-113.75,1
271_140,271,140,train,5,45.5,46.0,-110.0,-109.5,45.75,-109.75,1
271_151,271,151,test,117,45.5,46.0,-104.5,-104.0,45.75,-104.25,3
271_186,271,186,train,47,45.5,46.0,-87.0,-86.5,45.75,-86.75,1
272_126,272,126,train,3,46.0,46.5,-117.0,-116.5,46.25,-116.75,1
272_129,272,129,val,3,46.0,46.5,-115.5,-115.0,46.25,-115.25,2
272_131,272,131,train,17,46.0,46.5,-114.5,-114.0,46.25,-114.25,1
272_136,272,136,train,9,46.0,46.5,-112.0,-111.5,46.25,-111.75,1
272_137,272,137,train,45,46.0,46.5,-111.5,-111.0,46.25,-111.25,1
272_142,272,142,train,37,46.0,46.5,-109.0,-108.5,46.25,-108.75,1
272_143,272,143,val,68,46.0,46.5,-108.5,-108.0,46.25,-108.25,2
272_147,272,147,train,42,46.0,46.5,-106.5,-106.0,46.25,-106.25,1
272_150,272,150,val,89,46.0,46.5,-105.0,-104.5,46.25,-104.75,2
272_186,272,186,train,13,46.0,46.5,-87.0,-86.5,46.25,-86.75,1
272_187,272,187,train,26,46.0,46.5,-86.5,-86.0,46.25,-86.25,1
272_190,272,190,train,19,46.0,46.5,-85.0,-84.5,46.25,-84.75,1
273_133,273,133,train,1,46.5,47.0,-113.5,-113.0,46.75,-113.25,1
273_138,273,138,val,45,46.5,47.0,-111.0,-110.5,46.75,-110.75,2
273_144,273,144,train,74,46.5,47.0,-108.0,-107.5,46.75,-107.75,1
273_150,273,150,train,99,46.5,47.0,-105.0,-104.5,46.75,-104.75,1
274_122,274,122,train,3,47.0,47.5,-119.0,-118.5,47.25,-118.75,1
274_124,274,124,train,3,47.0,47.5,-118.0,-117.5,47.25,-117.75,1
274_127,274,127,test,11,47.0,47.5,-116.5,-116.0,47.25,-116.25,3
274_128,274,128,train,9,47.0,47.5,-116.0,-115.5,47.25,-115.75,1
274_131,274,131,train,22,47.0,47.5,-114.5,-114.0,47.25,-114.25,1
274_132,274,132,val,41,47.0,47.5,-114.0,-113.5,47.25,-113.75,2
274_134,274,134,train,38,47.0,47.5,-113.0,-112.5,47.25,-112.75,1
274_141,274,141,train,34,47.0,47.5,-109.5,-109.0,47.25,-109.25,1
275_118,275,118,train,7,47.5,48.0,-121.0,-120.5,47.75,-120.75,1
275_122,275,122,train,5,47.5,48.0,-119.0,-118.5,47.75,-118.75,1
275_123,275,123,train,4,47.5,48.0,-118.5,-118.0,47.75,-118.25,1
275_127,275,127,train,5,47.5,48.0,-116.5,-116.0,47.75,-116.25,1
275_131,275,131,train,6,47.5,48.0,-114.5,-114.0,47.75,-114.25,1
275_132,275,132,train,19,47.5,48.0,-114.0,-113.5,47.75,-113.75,1
275_134,275,134,val,40,47.5,48.0,-113.0,-112.5,47.75,-112.75,2
275_142,275,142,train,58,47.5,48.0,-109.0,-108.5,47.75,-108.75,1
275_144,275,144,train,34,47.5,48.0,-108.0,-107.5,47.75,-107.75,1
275_177,275,177,train,34,47.5,48.0,-91.5,-91.0,47.75,-91.25,1
275_178,275,178,train,3,47.5,48.0,-91.0,-90.5,47.75,-90.75,1
276_125,276,125,train,1,48.0,48.5,-117.5,-117.0,48.25,-117.25,1
276_128,276,128,test,2,48.0,48.5,-116.0,-115.5,48.25,-115.75,3
276_129,276,129,val,39,48.0,48.5,-115.5,-115.0,48.25,-115.25,2
276_130,276,130,train,119,48.0,48.5,-115.0,-114.5,48.25,-114.75,1
276_132,276,132,train,6,48.0,48.5,-114.0,-113.5,48.25,-113.75,1
276_179,276,179,train,61,48.0,48.5,-90.5,-90.0,48.25,-90.25,1
277_119,277,119,val,6,48.5,49.0,-120.5,-120.0,48.75,-120.25,2
277_125,277,125,train,34,48.5,49.0,-117.5,-117.0,48.75,-117.25,1
277_126,277,126,train,41,48.5,49.0,-117.0,-116.5,48.75,-116.75,1
277_127,277,127,train,46,48.5,49.0,-116.5,-116.0,48.75,-116.25,1
277_128,277,128,train,2,48.5,49.0,-116.0,-115.5,48.75,-115.75,1
277_132,277,132,test,3,48.5,49.0,-114.0,-113.5,48.75,-113.75,3
301_58,301,58,val,13,60.5,61.0,-151.0,-150.5,60.75,-150.75,2
303_70,303,70,train,2,61.5,62.0,-145.0,-144.5,61.75,-144.75,1
304_69,304,69,train,4,62.0,62.5,-145.5,-145.0,62.25,-145.25,1
306_73,306,73,train,1,63.0,63.5,-143.5,-143.0,63.25,-143.25,1
307_62,307,62,test,3,63.5,64.0,-149.0,-148.5,63.75,-148.75,3
309_64,309,64,train,3,64.5,65.0,-148.0,-147.5,64.75,-147.75,1
